"country","goal_number","analysis_prompt"
Lebanon,"6","The UNSDG goal for Lebanon has an index of 62 in 2024 and this has changed by -1.0 percent from the previous year. The years with the largest improvement of 5.0 percent are in the years: 2004.
Trends in the SDG indicators used to compute the index: 
Population using at least basic drinking water services (%): 88.0000, Change from previous year in percent: 0.0000
Population using at least basic sanitation services (%): 99.0000, Change from previous year in percent: 0.0000
Freshwater withdrawal (% of available freshwater resources): 47.0000, Change from previous year in percent: 0.0000
Anthropogenic wastewater that receives treatment (%): 33.0000, Change from previous year in percent: 0.0000
Scarce water consumption embodied in imports (m³ H₂Oeq/capita): 46.0000, Change from previous year in percent: -1.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Clean Water and Sanitation is projected to be 68 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal6_projection: 66 
year: 2026, goal6_projection: 66 
year: 2027, goal6_projection: 67 
year: 2028, goal6_projection: 67 
year: 2029, goal6_projection: 67 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of the population with access to basic services** 
 with short desc:
 Cite as Data compiled from multiple sources by World Bank; World Health Organization (via World Bank); WHO/UNICEF Joint Monitoring Programme (JMP), via World Bank (2025) with url https://ourworldindata.org/grapher/access-to-basic-services?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **People using at least a basic drinking water source** 
 with short desc: Basic drinking water services are defined as an improved drinking water source, provided collection time is not more than 30 minutes for a roundtrip including queuing. 
 Cite as WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) (2024) with url https://ourworldindata.org/grapher/people-with-access-to-at-least-basic-drinking-water?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"7","The UNSDG goal for Lebanon has an index of 43 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2010.
Trends in the SDG indicators used to compute the index: 
Population with access to electricity (%): 100.0000, Change from previous year in percent: 0.0000
CO₂ emissions from fuel combustion per total electricity output (MtCO₂/TWh): 27.0000, Change from previous year in percent: 0.0000
Renewable energy share in total final energy consumption (%): 2.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Affordable and Clean Energy is projected to be 57 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal7_projection: 58 
year: 2026, goal7_projection: 58 
year: 2027, goal7_projection: 58 
year: 2028, goal7_projection: 58 
year: 2029, goal7_projection: 58 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of electricity generation from fossil fuels, renewables and nuclear** 
 with short desc: Measured as a percentage of total electricity produced in the country or region. Fossil fuels include coal, oil, and gas. Renewables include solar, wind, hydropower, bioenergy, geothermal, wave, and tidal. 
 Cite as Ember (2025); Energy Institute - Statistical Review of World Energy (2025) with url https://ourworldindata.org/grapher/electricity-fossil-renewables-nuclear-line?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"8","The UNSDG goal for Lebanon has an index of 50 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2014, 2018.
Trends in the SDG indicators used to compute the index: 
Adjusted GDP growth index (worst 0-100 best): 18.0000, Change from previous year in percent: 0.0000
Victims of modern slavery (per 1,000 population): 66.0000, Change from previous year in percent: 0.0000
Adults with an account at a bank or other financial institution or with a mobile-money-service provider (% of population aged 15 or over): 14.0000, Change from previous year in percent: 0.0000
Unemployment rate (% of total labor force, ages 15+): 57.0000, Change from previous year in percent: 0.0000
Fundamental labor rights are effectively guaranteed (worst 0–1 best): 27.0000, Change from previous year in percent: 0.0000
Fatal work-related accidents embodied in imports (per million population): 89.0000, Change from previous year in percent: 0.0000
Victims of modern slavery embodied in imports (per 100,000 population): 83.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Decent Work and Economic Growth is projected to be 55 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal8_projection: 56 
year: 2026, goal8_projection: 56 
year: 2027, goal8_projection: 56 
year: 2028, goal8_projection: 56 
year: 2029, goal8_projection: 55 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Unemployment rate** 
 with short desc: Share of the labor force without work but available for and seeking employment. 
 Cite as International Monetary Fund (2025) with url https://ourworldindata.org/grapher/unemployment-rate-imf?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"9","The UNSDG goal for Lebanon has an index of 74 in 2024 and this has changed by 1.0 percent from the previous year. The years with the largest improvement of 9.0 percent are in the years: 2023.
Trends in the SDG indicators used to compute the index: 
Rural population with access to all-season roads (%): 100.0000, Change from previous year in percent: 0.0000
Population using the internet (%): 83.0000, Change from previous year in percent: 0.0000
Mobile broadband subscriptions (per 100 population): 96.0000, Change from previous year in percent: 0.0000
Logistics Performance Index: Infrastructure Score (worst 1-5 best): 47.0000, Change from previous year in percent: 0.0000
The Times Higher Education Universities Ranking: Average score of top 3 universities (worst 0-100 best): 93.0000, Change from previous year in percent: 6.0000
Articles published in academic journals (per 1,000 population): 93.0000, Change from previous year in percent: 0.0000
Total patent applications by applicant's origin (per million population): 4.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Industries,Innovation, and Infrastructure is projected to be 72 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal9_projection: 64 
year: 2026, goal9_projection: 66 
year: 2027, goal9_projection: 67 
year: 2028, goal9_projection: 69 
year: 2029, goal9_projection: 71 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Landline Internet subscriptions per 100 people** 
 with short desc: Subscriptions to fixed access to the public Internet with a download speed of at least 256 kbit/s. 
 Cite as International Telecommunication Union (ITU), via World Bank (2025) with url https://ourworldindata.org/grapher/broadband-penetration-by-country?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Adoption of communication technologies per 100 people** 
 with short desc:
 Cite as International Telecommunication Union (ITU), via World Bank (2025) with url https://ourworldindata.org/grapher/ict-adoption-per-100-people?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"11","The UNSDG goal for Lebanon has an index of 61 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 6.0 percent are in the years: 2011.
Trends in the SDG indicators used to compute the index: 
Proportion of urban population living in slums (%): 95.0000, Change from previous year in percent: 0.0000
Annual mean concentration of PM2.5 (μg/m³): 72.0000, Change from previous year in percent: 0.0000
Population with convenient access to public transport in cities (%): 15.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Sustainable Cities and Communities is projected to be 53 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal11_projection: 49 
year: 2026, goal11_projection: 49 
year: 2027, goal11_projection: 50 
year: 2028, goal11_projection: 51 
year: 2029, goal11_projection: 52 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of people living in urban areas** 
 with short desc: The urban area is the share of people living in[cities](#dod:cities-degurba) and [towns](#dod:towns-degurba), as estimated by the European Commission using satellite imagery and census data. This differs from UN figures, which rely on national urban definitions. 
 Cite as European Commission, Joint Research Centre (JRC) (2024) with url https://ourworldindata.org/grapher/urban-share-european-commission?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Population density of the capital city** 
 with short desc: The number of people per km² of land area for the country's capital city. 
 Cite as European Commission, Joint Research Centre (JRC) (2024) with url https://ourworldindata.org/grapher/population-density-of-the-capital-city?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Share of the population with access to basic services** 
 with short desc:
 Cite as Data compiled from multiple sources by World Bank; World Health Organization (via World Bank); WHO/UNICEF Joint Monitoring Programme (JMP), via World Bank (2025) with url https://ourworldindata.org/grapher/access-to-basic-services?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"12","The UNSDG goal for Lebanon has an index of 69 in 2024 and this has changed by -1.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2004, 2006, 2014.
Trends in the SDG indicators used to compute the index: 
Municipal solid waste (kg/capita/day): 77.0000, Change from previous year in percent: 0.0000
Electronic waste that is not recollected (kg/capita): 55.0000, Change from previous year in percent: 0.0000
Production-based air pollution (DALYs per 1,000 population): 57.0000, Change from previous year in percent: -2.0000
Air pollution associated with imports (DALYs per 1,000 population): 82.0000, Change from previous year in percent: 0.0000
Production-based nitrogen emissions (kg/capita): 67.0000, Change from previous year in percent: -1.0000
Nitrogen emissions associated with imports (kg/capita): 63.0000, Change from previous year in percent: -1.0000
Exports of plastic waste (kg/capita): 84.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Responsible Consumption and Production is projected to be 73 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal12_projection: 73 
year: 2026, goal12_projection: 73 
year: 2027, goal12_projection: 73 
year: 2028, goal12_projection: 73 
year: 2029, goal12_projection: 73 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Coal consumption and sulphur dioxide emissions** 
 with short desc: Sulphur dioxide (SO₂) is an air pollutant formed from the burning of fuels that contain sulphur, such as coal. Countries can reduce SO₂ emissions by burning less coal, or installing desulphurization technologies which remove sulphur from the smokestack. 
 Cite as Community Emissions Data System (CEDS) 2024; Energy Institute (2024) with url https://ourworldindata.org/grapher/sulphur-dioxide-and-coal?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Annual CO₂ emissions** 
 with short desc: Carbon dioxide (CO₂) emissions from [fossil fuels and industry](#dod:fossilemissions). Land-use change is not included. 
 Cite as Global Carbon Budget (2024) with url https://ourworldindata.org/grapher/annual-co2-emissions-per-country?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"13","The UNSDG goal for Lebanon has an index of 85 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 3.0 percent are in the years: 2004.
Trends in the SDG indicators used to compute the index: 
CO₂ emissions from fossil fuel combustion and cement production (tCO2/capita): 82.0000, Change from previous year in percent: 0.0000
GHG emissions embodied in imports (tCO₂/capita): 74.0000, Change from previous year in percent: 0.0000
CO₂ emissions embodied in fossil fuel exports (tonnes/capita): 100.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Climate Action is projected to be 89 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal13_projection: 88 
year: 2026, goal13_projection: 88 
year: 2027, goal13_projection: 88 
year: 2028, goal13_projection: 89 
year: 2029, goal13_projection: 89 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of global CO₂ emissions** 
 with short desc: Carbon dioxide (CO₂) emissions from [fossil fuels and industry](#dod:fossilemissions). Land-use change is not included. 
 Cite as Global Carbon Budget (2024) with url https://ourworldindata.org/grapher/annual-share-of-co2-emissions?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **emissions of air pollutants** 
 with short desc: Air pollutants are gases that can lead to negative impacts on human health and ecosystems. Most are produced from energy, industry, and agriculture. 
 Cite as Hoesly et al. (2024) - Community Emissions Data System (CEDS) with url https://ourworldindata.org/grapher/change-air-pollutant-emissions?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Global warming: Contributions to the change in global mean surface temperature** 
 with short desc: This is shown as a country or region's share of the global mean surface temperature change as a result of its cumulative emissions of three gases – carbon dioxide, methane, and nitrous oxide. 
 Cite as Jones et al. (2024) with url https://ourworldindata.org/grapher/contributions-global-temp-change?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"14","The UNSDG goal for Lebanon has an index of 61 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2009.
Trends in the SDG indicators used to compute the index: 
Mean area that is protected in marine sites important to biodiversity (%) : 11.0000, Change from previous year in percent: 0.0000
Ocean Health Index: Clean Waters score (worst 0-100 best): 16.0000, Change from previous year in percent: -1.0000
Fish caught by trawling or dredging (%): 91.0000, Change from previous year in percent: 0.0000
Fish caught that are then discarded (%): 99.0000, Change from previous year in percent: 0.0000
Marine biodiversity threats embodied in imports (per million population): 88.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Life Below Water is projected to be 60 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal14_projection: 60 
year: 2026, goal14_projection: 59 
year: 2027, goal14_projection: 60 
year: 2028, goal14_projection: 60 
year: 2029, goal14_projection: 60 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Aquaculture production** 
 with short desc: Aquaculture is the farming of aquatic organisms including fish, molluscs, crustaceans and aquatic plants. Aquaculture production specifically refers to output from aquaculture activities, which are designated for final harvest for consumption. 
 Cite as Food and Agriculture Organization of the United Nations, via World Bank (2025) with url https://ourworldindata.org/grapher/aquaculture-farmed-fish-production?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Industrial water as a share of total water withdrawals** 
 with short desc: Industrial water withdrawals as a percentage of total water withdrawals (which is the sum of water used for agriculture, industry, and municipal purposes). 
 Cite as Food and Agriculture Organization of the United Nations, OECD, and World Bank (2025) with url https://ourworldindata.org/grapher/industrial-water-as-a-share-of-total-water-withdrawals?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Number of fishes caught from the wild** 
 with short desc: This data does not include unrecorded fish capture, such as fish caught illegally and those caught as bycatch and discards. Data at the country level is based on the average tonnage of annual catch from 2000 to 2019, and estimated mean weights for fish species. 
 Cite as Mood and Brooke (2024) with url https://ourworldindata.org/grapher/wild-caught-fish?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"15","The UNSDG goal for Lebanon has an index of 49 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2019.
Trends in the SDG indicators used to compute the index: 
Mean area that is protected in terrestrial sites important to biodiversity (%): 5.0000, Change from previous year in percent: 0.0000
Mean area that is protected in freshwater sites important to biodiversity (%): 9.0000, Change from previous year in percent: 0.0000
Red List Index of species survival (worst 0-1 best) : 91.0000, Change from previous year in percent: 0.0000
Permanent deforestation (% of forest area, 3-year average): 97.0000, Change from previous year in percent: 0.0000
Imported deforestation (m²/capita): 46.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Life on Land is projected to be 50 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal15_projection: 50 
year: 2026, goal15_projection: 50 
year: 2027, goal15_projection: 50 
year: 2028, goal15_projection: 50 
year: 2029, goal15_projection: 50 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Agricultural land use per person** 
 with short desc: This dataset is showing estimates of the total agricultural land area – which is the combination of cropland and grazing land – per person. It is measured in hectares per person. 
 Cite as HYDE (2023) with url https://ourworldindata.org/grapher/total-agricultural-land-use-per-person?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Area of permanent meadows and pastures** 
 with short desc: This is the land used for livestock grazing. The total land use for livestock farming is higher as it additionally requires cropland used to grow animal feed. 
 Cite as Food and Agriculture Organization of the United Nations (2024) with url https://ourworldindata.org/grapher/area-of-permanent-meadows-and-pastures?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Land used for agriculture** 
 with short desc: Agricultural land use is the sum of croplands and pasture – land used for grazing livestock. It is measured in hectares. 
 Cite as Taylor & Rising (2021) with url https://ourworldindata.org/grapher/land-use-agriculture-longterm?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Share of land defined as natural habitat** 
 with short desc: Natural ecosystems include forest, grassland, savanna, and shrublands, and other classes such as peatlands and marshes. It is total land minus land that is used by humans for agriculture – either croplands or pasture – or for infrastructure and urban environments. 
 Cite as Taylor & Rising (2021); UN World Population Prospects (2021) with url https://ourworldindata.org/grapher/land-natural-share?v=1&csvType=full&useColumnShortNames=true

"
Lebanon,"16","The UNSDG goal for Lebanon has an index of 50 in 2024 and this has changed by -2.0 percent from the previous year. The years with the largest improvement of 7.0 percent are in the years: 2009.
Trends in the SDG indicators used to compute the index: 
Homicides (per 100,000 population): 95.0000, Change from previous year in percent: 0.0000
Crime is effectively controlled (worst 0 - 1 best): 50.0000, Change from previous year in percent: 0.0000
Unsentenced detainees (% of prison population): 28.0000, Change from previous year in percent: 0.0000
Birth registrations with civil authority (% of children under age 5): 99.0000, Change from previous year in percent: 0.0000
Corruption Perceptions Index (worst 0-100 best): 12.0000, Change from previous year in percent: -3.0000
Exports of major conventional weapons (TIV constant million USD per 100,000 population): 100.0000, Change from previous year in percent: 0.0000
Press Freedom Index (worst 0-100 best): 5.0000, Change from previous year in percent: -17.0000
Access to and affordability of justice (worst 0–1 best): 67.0000, Change from previous year in percent: 0.0000
Timeliness of administrative proceedings (worst 0 - 1 best): 34.0000, Change from previous year in percent: 0.0000
Expropriations are lawful and adequately compensated (worst 0 - 1 best): 7.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Peace, Justice, and Strong Instiutions is projected to be 48 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal16_projection: 51 
year: 2026, goal16_projection: 50 
year: 2027, goal16_projection: 50 
year: 2028, goal16_projection: 49 
year: 2029, goal16_projection: 49 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Key features of women's political empowerment** 
 with short desc: The [indices](#dod:key-indices-women-political-empowerment) are by [V-Dem](#dod:v-dem), based on expert estimates, and range from 0 to 1 (most empowered). 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-features-of-womens-political-empowerment?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Deaths in armed conflicts** 
 with short desc: Included are deaths of combatants and civilians due to fighting in [armed conflicts](#dod:armed-conflict-ucdp) that were ongoing that year. 
 Cite as Uppsala Conflict Data Program (2025); geoBoundaries (2023) with url https://ourworldindata.org/grapher/deaths-in-armed-conflicts?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Key media freedoms** 
 with short desc: The scores are by [V-Dem](#dod:v-dem) and based on expert estimates. Higher scores indicate more freedom. A score of 0 is approximately the average across all countries and years. 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-media-freedoms?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Terrorist attacks, deaths and injuries** 
 with short desc: Confirmed deaths and injuries include all victims and attackers who died or were hurt because of a [terrorist attack](#dod:terrorism). 
 Cite as Global Terrorism Database (2022) with url https://ourworldindata.org/grapher/terrorist-attacks-fatalities-and-injuries?v=1&csvType=full&useColumnShortNames=true

5. Chart Title: **Democracy index by source** 
 with short desc: The indices are normalized to range from 0 to 1. The data is still not directly comparable because the sources have different definitions of democracy. The number of available sources differs by country or region. 
 Cite as V-Dem (2025) and other sources with url https://ourworldindata.org/grapher/democracy-index-by-source?v=1&csvType=full&useColumnShortNames=true

6. Chart Title: **Key features of democracy** 
 with short desc: The [indices](#dod:key-indices-democracy-vdem) are by [V-Dem](#dod:v-dem), based on expert estimates, and range from 0 to 1 (most democratic). 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-features-of-democracy?v=1&csvType=full&useColumnShortNames=true

"
Lesotho,"1","The UNSDG goal for Lesotho has an index of 32 in 2024 and this has changed by 2.0 percent from the previous year. The years with the largest improvement of 5.0 percent are in the years: 2017.
Trends in the SDG indicators used to compute the index: 
Poverty headcount ratio at $2.15/day (%): 59.0000, Change from previous year in percent: 2.0000
Poverty headcount ratio at $3.65/day (%): 6.0000, Change from previous year in percent: 3.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of End poverty in all its forms everywhere is projected to be 31 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal1_projection: 24 
year: 2026, goal1_projection: 26 
year: 2027, goal1_projection: 25 
year: 2028, goal1_projection: 31 
year: 2029, goal1_projection: 32 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share in poverty relative to different poverty lines** 
 with short desc: This data is adjusted for inflation and for differences in living costs between countries. 
 Cite as World Bank Poverty and Inequality Platform (2025) with url https://ourworldindata.org/grapher/share-in-poverty-relative-to-different-poverty-thresholds?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Intensity of multidimensional poverty** 
 with short desc: Multidimensional poverty is defined as being deprived in a range of health, education and living standards indicators. The intensity is the share of indicators in which people in multidimensional poverty are deprived on average. 
 Cite as Alkire, Kanagaratnam and Suppa (2024) - The Global Multidimensional Poverty Index (MPI) 2024 with url https://ourworldindata.org/grapher/intensity-of-multidimensional-poverty-hot?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Consumer price index** 
 with short desc: The CPI shows the average price level of goods and services purchased by consumers. This is expressed relative to a base year – in this case 2010. For example, a CPI of 120 means that prices were 20% higher than in 2010. 
 Cite as International Monetary Fund, via World Bank (2025) with url https://ourworldindata.org/grapher/consumer-price-index?v=1&csvType=full&useColumnShortNames=true

"
Lesotho,"2","The UNSDG goal for Lesotho has an index of 42 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 3.0 percent are in the years: 2010, 2017.
Trends in the SDG indicators used to compute the index: 
Prevalence of stunting in children under 5 years of age (%): 14.0000, Change from previous year in percent: 0.0000
Prevalence of wasting in children under 5 years of age (%): 87.0000, Change from previous year in percent: 0.0000
Minimum dietary diversity among children aged 6-23 months (%): 10.0000, Change from previous year in percent: 0.0000
Prevalence of obesity, BMI ≥ 30 (% of adult population): 44.0000, Change from previous year in percent: 0.0000
Human Trophic Level (best 2-3 worst): 69.0000, Change from previous year in percent: 0.0000
Cereal yield (tonnes per hectare of harvested land): 8.0000, Change from previous year in percent: 0.0000
Sustainable Nitrogen Management Index (best 0-1.41 worst): 8.0000, Change from previous year in percent: 0.0000
Exports of hazardous pesticides (tonnes per million population): 100.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Zero Hunger is projected to be 42 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal2_projection: 42 
year: 2026, goal2_projection: 42 
year: 2027, goal2_projection: 42 
year: 2028, goal2_projection: 42 
year: 2029, goal2_projection: 42 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of children who have anemia** 
 with short desc: Share of children under the age of five with anemia. Anemia is a condition that develops when your blood lacks enough healthy red blood cells or hemoglobin. 
 Cite as World Health Organization, via World Bank (2025) with url https://ourworldindata.org/grapher/prevalence-of-anemia-in-children?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Daily protein supply from animal and plant-based foods** 
 with short desc: Daily per capita protein supply is measured in grams per person per day. Protein of animal origin includes protein from all meat commodities, eggs and dairy products, and fish & seafood. 
 Cite as Food and Agriculture Organization of the United Nations (2024) with url https://ourworldindata.org/grapher/daily-protein-supply-from-animal-and-plant-based-foods?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Daily supply of calories per person** 
 with short desc: Measured in kilocalories per person per day. This indicates the calories that are available for consumption, but does not necessarily measure the number of calories actually consumed, since it doesn't factor in consumer waste. 
 Cite as Food and Agriculture Organization of the United Nations (2024) and other sources with url https://ourworldindata.org/grapher/daily-per-capita-caloric-supply?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Share of women of reproductive age who have anemia** 
 with short desc: Share of women of reproductive age (aged 15-49) with anemia. Anemia is a condition that develops when your blood lacks enough healthy red blood cells or hemoglobin. 
 Cite as World Health Organization, via World Bank (2025) with url https://ourworldindata.org/grapher/prevalence-of-anemia-in-women-of-reproductive-age-aged-15-29?v=1&csvType=full&useColumnShortNames=true

"
Lesotho,"3","The UNSDG goal for Lesotho has an index of 36 in 2024 and this has changed by 1.0 percent from the previous year. The years with the largest improvement of 3.0 percent are in the years: 2014, 2020.
Trends in the SDG indicators used to compute the index: 
Maternal mortality ratio (per 100,000 live births) : 41.0000, Change from previous year in percent: 0.0000
Neonatal mortality rate (per 1,000 live births): 28.0000, Change from previous year in percent: 0.0000
Mortality rate, under-5 (per 1,000 live births): 56.0000, Change from previous year in percent: 0.0000
Incidence of tuberculosis (per 100,000 population): 0.0000, Change from previous year in percent: 0.0000
New HIV infections (per 1,000 uninfected population, all ages): 45.0000, Change from previous year in percent: 0.0000
Age-standardized death rate due to cardiovascular disease, cancer, diabetes, or chronic respiratory disease in adults aged 30 to 70 years (%): 0.0000, Change from previous year in percent: 0.0000
Age-standardized death rate attributable to household air pollution and ambient air pollution (per 100,000 population): 22.0000, Change from previous year in percent: 0.0000
Traffic deaths (per 100,000 population): 40.0000, Change from previous year in percent: 0.0000
Life expectancy at birth (years): 12.0000, Change from previous year in percent: 0.0000
Adolescent fertility rate (births per 1,000 females aged 15 to 19): 66.0000, Change from previous year in percent: 0.0000
Births attended by skilled health personnel (%): 83.0000, Change from previous year in percent: 0.0000
Surviving infants who received 2 WHO-recommended vaccines (%): 78.0000, Change from previous year in percent: 0.0000
Universal health coverage (UHC) index of service coverage (worst 0-100 best): 24.0000, Change from previous year in percent: 0.0000
Subjective well-being (average ladder score, worst 0-10 best): 11.0000, Change from previous year in percent: 11.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Good Health and Well-Being is projected to be 23 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal3_projection: 22 
year: 2026, goal3_projection: 22 
year: 2027, goal3_projection: 22 
year: 2028, goal3_projection: 22 
year: 2029, goal3_projection: 22 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Life expectancy** 
 with short desc:
 Cite as Riley (2005); Zijdeman et al. (2015); HMD (2024); UN WPP (2024) with url https://ourworldindata.org/grapher/life-expectancy?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Child mortality rate** 
 with short desc: Estimated share of newborns who die before reaching the age of five. 
 Cite as Gapminder (2015); UN Inter-agency Group for Child Mortality Estimation (2025) with url https://ourworldindata.org/grapher/child-mortality?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Maternal mortality ratio** 
 with short desc: Estimated number of women who die from [maternal conditions](#dod:maternal-mortality) per 100,000 live births. 
 Cite as UN MMEIG (2023) with url https://ourworldindata.org/grapher/maternal-mortality-slope-chart?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Vaccination coverage** 
 with short desc: Share of one-year-olds who have been immunized against a disease or a pathogen. 
 Cite as WHO & UNICEF (2025); UN, World Population Prospects (2024) with url https://ourworldindata.org/grapher/global-vaccination-coverage?v=1&csvType=full&useColumnShortNames=true

"
Lesotho,"4","The UNSDG goal for Lesotho has an index of 36 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2001, 2003, 2006, 2010, 2017.
Trends in the SDG indicators used to compute the index: 
Participation rate in pre-primary organized learning (% of children aged 4 to 6): 0.0000, Change from previous year in percent: 0.0000
Net primary enrollment rate (%): 34.0000, Change from previous year in percent: 0.0000
Lower secondary completion rate (%): 29.0000, Change from previous year in percent: 0.0000
Literacy rate (% of population aged 15 to 24): 81.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Quality Education is projected to be 46 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal4_projection: 44 
year: 2026, goal4_projection: 45 
year: 2027, goal4_projection: 45 
year: 2028, goal4_projection: 45 
year: 2029, goal4_projection: 46 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of children in primary school age who are in school** 
 with short desc: Share of children of who are enrolled in [primary](#dod:primary-education) education amongst the total population of children of official primary school age. 
 Cite as UNESCO Institute for Statistics (2025); Lee and Lee (2016) with url https://ourworldindata.org/grapher/primary-enrollment-selected-countries?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Literacy rate of young men and women** 
 with short desc: Share of male and female population aged 15-24 who can both read and write a short, simple statement about their everyday life. 
 Cite as UNESCO Institute for Statistics (UIS), via World Bank (2025) with url https://ourworldindata.org/grapher/literacy-rate-of-young-men-and-women-line?v=1&csvType=full&useColumnShortNames=true

"
